numero_processo,nome_juiz,sentimento_medio,sentimento_mediano,qtd_movimentos,genero_juiz
00504405320208060164,,2.5714285714285716,4.0,21,Indeterminado
00504487620208060181,Luiz Ricardo de Morais Costa,1.6756756756756757,1.0,37,Indeterminado
00504550620208060137,Francisco Roney Pinto de Castro,1.9787234042553192,1.0,94,Masculino
00504567720218060097,Leandro Teixeira Santiago,1.9038461538461537,1.0,52,Masculino
00504686620208060149,Francisco Henrique Gomes Sobreira,1.875,1.0,32,Masculino
00504720720208060084,Antônio Carlos Alves de Freitas,1.98,1.0,50,Indeterminado
00504721720218060037,Francisco Hortêncio Dias,2.0208333333333335,1.0,48,Masculino
00504727120208060095,,2.3333333333333335,2.0,6,Indeterminado
00504813120218060052,Francisco Mirancleide Basilio Cavalcante,1.5675675675675675,1.0,37,Masculino
00504938420218060136,,2.875,4.0,8,Indeterminado
00504953320218060143,Celso Alves de Miranda,1.75,1.0,36,Masculino
00505034220208060176,Eduardo Vasconcelos Barros,2.5789473684210527,4.0,19,Masculino
00505111920208060176,,2.5,2.5,8,Indeterminado
00505154120208060084,Julia,2.125,1.0,8,Feminino
00505162620208060084,Julia,2.125,1.0,8,Feminino
00505197820208060084,Julia,2.125,1.0,8,Feminino
00505214120208060054,José Ronald Cavalcante Soares Júnior,1.36,1.0,50,Masculino
00505240520208060051,José Maria Moreira Barros,2.2,1.0,50,Masculino
00505350320208060126,Eliza,1.7391304347826086,1.0,23,Feminino
00505369520168060071,Francisco de Assis Furtado de Souza,1.6524390243902438,1.0,164,Masculino
00505544820208060113,,2.4444444444444446,3.0,9,Indeterminado
00505594120218060176,,2.6,3.0,10,Indeterminado
00505645020218060051,,1.6,1.0,10,Indeterminado
00505669220218060124,José Wilson Alves da Silva,2.1186440677966103,1.0,59,Masculino
00505692720218060066,,2.1666666666666665,1.0,18,Indeterminado
00505752220208060049,,2.193548387096774,1.0,31,Indeterminado
00505840420208060107,,2.5,2.5,6,Indeterminado
